ID,DataRow ID,Label,External ID,Dataset Name,class
cjriq0ojpyx9r0898vjw8x4zm,cjripqhv4ddg00anvltx7d27p,"{""Person"":[{""geometry"":[{""x"":30,""y"":212},{""x"":30,""y"":231},{""x"":44,""y"":231},{""x"":44,""y"":212}]},{""geometry"":[{""x"":232,""y"":59},{""x"":232,""y"":83},{""x"":244,""y"":83},{""x"":244,""y"":59}]},{""geometry"":[{""x"":264,""y"":9},{""x"":264,""y"":30},{""x"":276,""y"":30},{""x"":276,""y"":9}]},{""geometry"":[{""x"":25,""y"":170},{""x"":25,""y"":198},{""x"":43,""y"":198},{""x"":43,""y"":170}]},{""geometry"":[{""x"":330,""y"":229},{""x"":330,""y"":238},{""x"":337,""y"":238},{""x"":337,""y"":229}]}]}",img_00001.bmp,p03,pedestrian
cjriq2igayxt40b47shl6l7kl,cjripqhv4ddg40anvk2z2b11n,"{""Person"":[{""geometry"":[{""x"":30,""y"":211},{""x"":30,""y"":232},{""x"":43,""y"":232},{""x"":43,""y"":211}]},{""geometry"":[{""x"":223,""y"":74},{""x"":223,""y"":100},{""x"":233,""y"":100},{""x"":233,""y"":74}]},{""geometry"":[{""x"":324,""y"":148},{""x"":324,""y"":173},{""x"":338,""y"":173},{""x"":338,""y"":148}]},{""geometry"":[{""x"":327,""y"":231},{""x"":327,""y"":240},{""x"":338,""y"":240},{""x"":338,""y"":231}]},{""geometry"":[{""x"":283,""y"":13},{""x"":283,""y"":1},{""x"":271,""y"":1},{""x"":271,""y"":13}]}]}",img_00002.bmp,p03,pedestrian
cjriq37bxz02408983kbdhvn8,cjripqhv4ddg80anvylftif7z,"{""Person"":[{""geometry"":[{""x"":30,""y"":212},{""x"":30,""y"":229},{""x"":43,""y"":229},{""x"":43,""y"":212}]},{""geometry"":[{""x"":219,""y"":79},{""x"":219,""y"":107},{""x"":229,""y"":107},{""x"":229,""y"":79}]},{""geometry"":[{""x"":311,""y"":149},{""x"":311,""y"":173},{""x"":324,""y"":173},{""x"":324,""y"":149}]},{""geometry"":[{""x"":327,""y"":228},{""x"":327,""y"":240},{""x"":341,""y"":240},{""x"":341,""y"":228}]}]}",img_00003.bmp,p03,pedestrian
cjriq43peyzzs0b47miozxu3z,cjripqhv4ddgc0anv9us9wwdf,"{""Person"":[{""geometry"":[{""x"":31,""y"":210},{""x"":31,""y"":232},{""x"":43,""y"":232},{""x"":43,""y"":210}]},{""geometry"":[{""x"":156,""y"":164},{""x"":156,""y"":193},{""x"":171,""y"":193},{""x"":171,""y"":164}]},{""geometry"":[{""x"":173,""y"":139},{""x"":173,""y"":165},{""x"":184,""y"":165},{""x"":184,""y"":139}]},{""geometry"":[{""x"":326,""y"":229},{""x"":326,""y"":240},{""x"":340,""y"":240},{""x"":340,""y"":229}]}]}",img_00004.bmp,p03,pedestrian
cjriq5ykrz35s0b47asl5vhts,cjripqhv4ddgg0anvlx7pwbw5,"{""Person"":[{""geometry"":[{""x"":28,""y"":211},{""x"":28,""y"":231},{""x"":45,""y"":231},{""x"":45,""y"":211}]},{""geometry"":[{""x"":109,""y"":169},{""x"":109,""y"":199},{""x"":123,""y"":199},{""x"":123,""y"":169}]},{""geometry"":[{""x"":158,""y"":160},{""x"":158,""y"":187},{""x"":171,""y"":187},{""x"":171,""y"":160}]},{""geometry"":[{""x"":327,""y"":229},{""x"":327,""y"":240},{""x"":338,""y"":240},{""x"":338,""y"":229}]}]}",img_00005.bmp,p03,pedestrian
cjriq6ubjz43s0b4755zfgpae,cjripqhv4ddgk0anvh1b8hl4j,"{""Person"":[{""geometry"":[{""x"":30,""y"":213},{""x"":30,""y"":233},{""x"":44,""y"":233},{""x"":44,""y"":213}]},{""geometry"":[{""x"":108,""y"":223},{""x"":108,""y"":240},{""x"":121,""y"":240},{""x"":121,""y"":223}]},{""geometry"":[{""x"":236,""y"":165},{""x"":236,""y"":190},{""x"":253,""y"":190},{""x"":253,""y"":165}]},{""geometry"":[{""x"":301,""y"":169},{""x"":301,""y"":194},{""x"":315,""y"":194},{""x"":315,""y"":169}]},{""geometry"":[{""x"":327,""y"":229},{""x"":327,""y"":239},{""x"":339,""y"":239},{""x"":339,""y"":229}]}]}",img_00006.bmp,p03,pedestrian
cjriq7ztjz5b30b475z8gfdjp,cjripqhv4ddgo0anvz034egvs,"{""Person"":[{""geometry"":[{""x"":12,""y"":13},{""x"":12,""y"":37},{""x"":22,""y"":37},{""x"":22,""y"":13}]},{""geometry"":[{""x"":29,""y"":15},{""x"":29,""y"":37},{""x"":37,""y"":37},{""x"":37,""y"":15}]},{""geometry"":[{""x"":123,""y"":171},{""x"":123,""y"":197},{""x"":141,""y"":197},{""x"":141,""y"":171}]},{""geometry"":[{""x"":29,""y"":212},{""x"":29,""y"":231},{""x"":45,""y"":231},{""x"":45,""y"":212}]},{""geometry"":[{""x"":206,""y"":173},{""x"":206,""y"":200},{""x"":225,""y"":200},{""x"":225,""y"":173}]},{""geometry"":[{""x"":324,""y"":227},{""x"":324,""y"":240},{""x"":340,""y"":240},{""x"":340,""y"":227}]}]}",img_00007.bmp,p03,pedestrian
cjriqa08pz9zk0898jlsn67wl,cjripqhv4ddgs0anv99x0aljn,"{""Person"":[{""geometry"":[{""x"":7,""y"":10},{""x"":7,""y"":39},{""x"":24,""y"":39},{""x"":24,""y"":10}]},{""geometry"":[{""x"":27,""y"":13},{""x"":27,""y"":37},{""x"":40,""y"":37},{""x"":40,""y"":13}]},{""geometry"":[{""x"":27,""y"":211},{""x"":27,""y"":233},{""x"":47,""y"":233},{""x"":47,""y"":211}]},{""geometry"":[{""x"":117,""y"":171},{""x"":117,""y"":197},{""x"":138,""y"":197},{""x"":138,""y"":171}]},{""geometry"":[{""x"":203,""y"":173},{""x"":203,""y"":200},{""x"":220,""y"":200},{""x"":220,""y"":173}]},{""geometry"":[{""x"":325,""y"":227},{""x"":325,""y"":240},{""x"":342,""y"":240},{""x"":342,""y"":227}]}]}",img_00008.bmp,p03,pedestrian
cjriqexw1zimh0898vx3zdf5n,cjripqhv4ddgw0anv9npf06xd,"{""Person"":[{""geometry"":[{""x"":28,""y"":213},{""x"":28,""y"":232},{""x"":46,""y"":232},{""x"":46,""y"":213}]},{""geometry"":[{""x"":13,""y"":172},{""x"":13,""y"":196},{""x"":26,""y"":196},{""x"":26,""y"":172}]},{""geometry"":[{""x"":111,""y"":180},{""x"":111,""y"":206},{""x"":130,""y"":206},{""x"":130,""y"":180}]},{""geometry"":[{""x"":340,""y"":240},{""x"":324,""y"":240},{""x"":324,""y"":229},{""x"":340,""y"":229}]},{""geometry"":[{""x"":271,""y"":26},{""x"":271,""y"":8},{""x"":263,""y"":8},{""x"":263,""y"":26}]}],""image_problems"":[""blur""]}",img_00009.bmp,p03,pedestrian
cjriqinnozq2c0b47mf85yiu7,cjripqhv4ddh00anvhn1ivddk,"{""Person"":[{""geometry"":[{""x"":43,""y"":179},{""x"":43,""y"":204},{""x"":56,""y"":204},{""x"":56,""y"":179}]},{""geometry"":[{""x"":323,""y"":109},{""x"":323,""y"":134},{""x"":334,""y"":134},{""x"":334,""y"":109}]},{""geometry"":[{""x"":321,""y"":162},{""x"":321,""y"":187},{""x"":336,""y"":187},{""x"":336,""y"":162}]},{""geometry"":[{""x"":327,""y"":229},{""x"":327,""y"":240},{""x"":340,""y"":240},{""x"":340,""y"":229}]},{""geometry"":[{""x"":266,""y"":48},{""x"":266,""y"":26},{""x"":254,""y"":26},{""x"":254,""y"":48}]},{""geometry"":[{""x"":25,""y"":211},{""x"":25,""y"":233},{""x"":46,""y"":233},{""x"":46,""y"":211}]}],""image_problems"":[""blur"",""saturated""]}",img_00010.bmp,p03,pedestrian
cjriqkbjpzv6008981ljjua0u,cjripqhv4ddh40anvwd507qt4,"{""Person"":[{""geometry"":[{""x"":12,""y"":177},{""x"":12,""y"":201},{""x"":24,""y"":201},{""x"":24,""y"":177}]},{""geometry"":[{""x"":29,""y"":211},{""x"":29,""y"":232},{""x"":42,""y"":232},{""x"":42,""y"":211}]},{""geometry"":[{""x"":298,""y"":110},{""x"":298,""y"":142},{""x"":314,""y"":142},{""x"":314,""y"":110}]},{""geometry"":[{""x"":250,""y"":37},{""x"":250,""y"":58},{""x"":262,""y"":58},{""x"":262,""y"":37}]},{""geometry"":[{""x"":290,""y"":162},{""x"":290,""y"":189},{""x"":306,""y"":189},{""x"":306,""y"":162}]},{""geometry"":[{""x"":325,""y"":230},{""x"":325,""y"":239},{""x"":339,""y"":239},{""x"":339,""y"":230}]}],""image_problems"":[""blur"",""saturated""]}",img_00011.bmp,p03,pedestrian
cjriqlb8tzxfy0898ak2peza9,cjripqhv4ddh80anvwzv21pd3,"{""Person"":[{""geometry"":[{""x"":29,""y"":212},{""x"":29,""y"":231},{""x"":42,""y"":231},{""x"":42,""y"":212}]},{""geometry"":[{""x"":232,""y"":65},{""x"":232,""y"":88},{""x"":246,""y"":88},{""x"":246,""y"":65}]},{""geometry"":[{""x"":203,""y"":165},{""x"":203,""y"":190},{""x"":219,""y"":190},{""x"":219,""y"":165}]},{""geometry"":[{""x"":243,""y"":128},{""x"":243,""y"":154},{""x"":255,""y"":154},{""x"":255,""y"":128}]}],""image_problems"":[""blur"",""saturated""]}",img_00012.bmp,p03,pedestrian
cjriqm7kozy060b477tgvz7eg,cjripqhv4ddhc0anv9ljepvt4,"{""Person"":[{""geometry"":[{""x"":6,""y"":4},{""x"":6,""y"":28},{""x"":16,""y"":28},{""x"":16,""y"":4}]},{""geometry"":[{""x"":31,""y"":212},{""x"":31,""y"":231},{""x"":43,""y"":231},{""x"":43,""y"":212}]},{""geometry"":[{""x"":129,""y"":169},{""x"":129,""y"":195},{""x"":147,""y"":195},{""x"":147,""y"":169}]},{""geometry"":[{""x"":185,""y"":141},{""x"":185,""y"":167},{""x"":198,""y"":167},{""x"":198,""y"":141}]},{""geometry"":[{""x"":214,""y"":92},{""x"":214,""y"":114},{""x"":223,""y"":114},{""x"":223,""y"":92}]},{""geometry"":[{""x"":309,""y"":71},{""x"":309,""y"":97},{""x"":322,""y"":97},{""x"":322,""y"":71}]}],""image_problems"":[""blur"",""saturated""]}",img_00013.bmp,p03,pedestrian
cjriqn6rl00370b47k4bgqwb5,cjripqhv4ddhg0anv13wt0pha,"{""Person"":[{""geometry"":[{""x"":7,""y"":15},{""x"":7,""y"":42},{""x"":19,""y"":42},{""x"":19,""y"":15}]},{""geometry"":[{""x"":31,""y"":210},{""x"":31,""y"":231},{""x"":42,""y"":231},{""x"":42,""y"":210}]},{""geometry"":[{""x"":97,""y"":169},{""x"":97,""y"":198},{""x"":115,""y"":198},{""x"":115,""y"":169}]},{""geometry"":[{""x"":156,""y"":147},{""x"":156,""y"":175},{""x"":169,""y"":175},{""x"":169,""y"":147}]},{""geometry"":[{""x"":202,""y"":107},{""x"":202,""y"":132},{""x"":216,""y"":132},{""x"":216,""y"":107}]},{""geometry"":[{""x"":291,""y"":78},{""x"":291,""y"":102},{""x"":300,""y"":102},{""x"":300,""y"":78}]}],""image_problems"":[""blur"",""saturated""]}",img_00014.bmp,p03,pedestrian
cjriqodgj04k20898eif99p2s,cjripqhv5ddhk0anvy5ts16l7,"{""Person"":[{""geometry"":[{""x"":7,""y"":23},{""x"":7,""y"":51},{""x"":18,""y"":51},{""x"":18,""y"":23}]},{""geometry"":[{""x"":28,""y"":211},{""x"":28,""y"":234},{""x"":44,""y"":234},{""x"":44,""y"":211}]},{""geometry"":[{""x"":79,""y"":172},{""x"":79,""y"":199},{""x"":92,""y"":199},{""x"":92,""y"":172}]},{""geometry"":[{""x"":156,""y"":180},{""x"":137,""y"":180},{""x"":137,""y"":151},{""x"":156,""y"":151}]},{""geometry"":[{""x"":205,""y"":142},{""x"":191,""y"":142},{""x"":191,""y"":108},{""x"":205,""y"":108}]},{""geometry"":[{""x"":278,""y"":85},{""x"":278,""y"":109},{""x"":288,""y"":109},{""x"":288,""y"":85}]}],""image_problems"":[""blur"",""saturated""]}",img_00015.bmp,p03,pedestrian
cjriqpdsb07350898b22bno1w,cjripqhv5ddho0anvme2lqgkf,"{""Person"":[{""geometry"":[{""x"":9,""y"":32},{""x"":9,""y"":52},{""x"":19,""y"":52},{""x"":19,""y"":32}]},{""geometry"":[{""x"":28,""y"":211},{""x"":28,""y"":233},{""x"":44,""y"":233},{""x"":44,""y"":211}]},{""geometry"":[{""x"":54,""y"":173},{""x"":54,""y"":203},{""x"":73,""y"":203},{""x"":73,""y"":173}]},{""geometry"":[{""x"":137,""y"":186},{""x"":122,""y"":186},{""x"":122,""y"":153},{""x"":137,""y"":153}]},{""geometry"":[{""x"":181,""y"":121},{""x"":181,""y"":147},{""x"":195,""y"":147},{""x"":195,""y"":121}]},{""geometry"":[{""x"":267,""y"":89},{""x"":267,""y"":115},{""x"":279,""y"":115},{""x"":279,""y"":89}]}],""image_problems"":[""blur"",""saturated""]}",img_00016.bmp,p03,pedestrian
